ACTIVIDAD;AGRUPACION;FAMILIA
ADMINISTRACION COMERCIAL;STAFF;COMERCIAL
CALIDAD Y DIR TECNICA;SOPORTE OPERATIVO;SOPORTE OPERATIVO
CONTROL DE GESTION;STAFF;CONTROL DE GESTION
CONTABILIDAD E IMPUESTOS;STAFF;ADMINISTRACION
COMERCIALES;STAFF;COMERCIAL
COMPRAS;STAFF;ADMINISTRACION
COMERCIAL SALUD;STAFF;COMERCIAL
CUSTOMER EXPERIENCE;SOPORTE OPERATIVO;SOPORTE OPERATIVO
OBRAS CIVILES;STAFF;OBRAS CIVILES
DESARROLLO Y EMPLEOS;STAFF;RRHH
ESTRATEGIA TRANSPORTE;SOPORTE OPERATIVO;SOPORTE OPERATIVO
FACTURACION Y CTAS A PAGAR;STAFF;ADMINISTRACION
IMPLEMENTACION;STAFF;SERVICIOS
INFRA Y SEG INFORMATICA;STAFF;SISTEMAS
INGENIERIA DE SOFTWARE;STAFF;SISTEMAS
INNOVACION;STAFF;SISTEMAS
CUSTOMER INTELLIGENT;SOPORTE OPERATIVO;SOPORTE OPERATIVO
LIMPIEZA;STAFF - OPERACIONES;STAFF - OPERACIONES
MANTENIMIENTO;SOPORTE OPERATIVO;SOPORTE OPERATIVO
MEJORA CONTINUA;STAFF - OPERACIONES;STAFF - OPERACIONES
ANALISIS DE NEGOCIOS;STAFF;SERVICIOS
ADMINISTRACION OP AG;OPERACIONES;ALMACEN GENERAL
ALMACENAMIENTO AG;OPERACIONES;ALMACEN GENERAL
INGRESO AG;OPERACIONES;ALMACEN GENERAL
PICKING AG;OPERACIONES;ALMACEN GENERAL
ADMINISTRACION OP AS;OPERACIONES;ALMACEN SALUD
ALMACENAMIENTO AS;OPERACIONES;ALMACEN SALUD
INGRESO AS;OPERACIONES;ALMACEN SALUD
PICKING AS;OPERACIONES;ALMACEN SALUD
INTERNACIONAL ADM DI;OPERACIONES;DISTRIBUCION
ADMISION DI;OPERACIONES;DISTRIBUCION
ADMINISTRACION OP DI;OPERACIONES;DISTRIBUCION
CLASIFICACION DI;OPERACIONES;DISTRIBUCION
DISTRIBUCION DI;OPERACIONES;DISTRIBUCION
IMPOSICION DI;OPERACIONES;DISTRIBUCION
INTERNACIONAL DI;OPERACIONES;DISTRIBUCION
PROGRAMACION DI;OPERACIONES;DISTRIBUCION
RENDICION DI;OPERACIONES;DISTRIBUCION
TRONCAL AEREO DI;OPERACIONES;DISTRIBUCION
TRONCAL TERRESTRE DI;OPERACIONES;DISTRIBUCION
ADMINISTRACION OP XD;OPERACIONES;CROSS DOCK MELI
FULLFILMENT SE;OPERACIONES;SERVICIOS ESPECIALES
CROSS DOCK MELI SE;OPERACIONES;CROSS DOCK MELI
MAILROOM SE;OPERACIONES;MAILROOM
ADMINISTRACION OP SP;OPERACIONES;SERVICIO POSTAL
ARMADO SP;OPERACIONES;SERVICIO POSTAL
CLASIFICACION SP;OPERACIONES;SERVICIO POSTAL
DISTRIBUCION SP;OPERACIONES;SERVICIO POSTAL
GUARDA SP;OPERACIONES;SERVICIO POSTAL
INGRESOS SP;OPERACIONES;SERVICIO POSTAL
PROGRAMACION SP;OPERACIONES;SERVICIO POSTAL
RECEPCION SP;OPERACIONES;SERVICIO POSTAL
RENDICION SP;OPERACIONES;SERVICIO POSTAL
PLANEAMIENTO;STAFF - OPERACIONES;STAFF - OPERACIONES
PLANEAMIENTO COMERCIAL;STAFF;COMERCIAL
RENTA Y BI;STAFF;CONTROL DE GESTION
SEGURIDAD PATRIMONIAL;STAFF - OPERACIONES;STAFF - OPERACIONES
CUSTOMER SUCCESS;SOPORTE OPERATIVO;SOPORTE OPERATIVO
TESORERIA;STAFF;ADMINISTRACION
TRANSFORMACION;STAFF;TRANSFORMACION
ESPACIOS CEDIDOS SE;OPERACIONES;SERVICIOS ESPECIALES
EMBALAJE SE;OPERACIONES;SERVICIOS ESPECIALES
CONSULTORIA SE;OPERACIONES;SERVICIOS ESPECIALES
IMPLEMENTACION OP;STAFF - OPERACIONES;STAFF - OPERACIONES
RRLL & BP OPERACIONES;STAFF;RRHH
ADP PAYROLL CDG & CB;STAFF;RRHH
CALIDAD Y DIR TECNICA GLOBAL;STAFF;CALIDAD Y DIR TECNICA GLOBAL
ASUNTOS INSTITUCIONALES;STAFF;ASUNTOS INSTITUCIONALES
PRODUCTO;STAFF;SERVICIOS
DISTRIBUIDORES DOMICILIARIOS SDI;OPERACIONES;SERVICIO POSTAL
OPERACIONES POSTAL SDI;OPERACIONES;SERVICIO POSTAL
COMERCIAL SDI;STAFF;COMERCIAL
RECURSOS HIUMANOS SDI;STAFF;RRHH
ADMINISTRACION SDI;STAFF;ADMINISTRACION
COMUNICACIONES;STAFF;COMUNICACIONES
NACIONALIZACIONES LYTESA SE;OPERACIONES;SERVICIOS ESPECIALES
GUARDA ESPECIALIZADA SE;OPERACIONES;SERVICIOS ESPECIALES
ESPACIOS CEDIDOS AG;OPERACIONES;ALMACEN GENERAL
ESPACIOS CEDIDOS AS;OPERACIONES;ALMACEN SALUD
INPLANT RECURSOS HUMANOS;SOPORTE OPERATIVO;SOPORTE OPERATIVO
INPLANT INF Y TECNOLOG;SOPORTE OPERATIVO;SOPORTE OPERATIVO
CONTROL GESTION OP;STAFF - OPERACIONES;STAFF - OPERACIONES
INGENIERIA LOGISTICA OP;STAFF - OPERACIONES;STAFF - OPERACIONES
OCASA XDOCK;STAFF;DIRECCION GENERAL
OCASA SUPPLY CHAIN;STAFF;DIRECCION GENERAL
OCASA X BORDER TRANSACTIONS;STAFF;DIRECCION GENERAL
OCASA ULTIMA MILLA;STAFF;DIRECCION GENERAL
OCASA GLOBAL FORWARDING;STAFF;DIRECCION GENERAL
