CLIENTE_CODIGO_VENTA;CLIENTE_DESCRIPCION_VENTA
101010101;ORG COURIER ARG
900000999;OCASA RED
900000999;OCASA RED
900000999;OCASA RED
900000999;OCASA RED
900000999;OCASA RED
900000999;OCASA RED
900000999;OCASA RED
900000999;OCASA RED
102000316;BANCO DE SAN JUAN S.A.
102000317;BANCO MACRO S.A.
102000322;BANCO CHUBUT
102000326;QBE SEGUROS LA BUENOS AIRES S.A.
102000333;BANCO DE SANTA CRUZ S.A.
102000346;INGENIO Y REFINERÍA SAN MARTÍN
102000363;MSD ARGENTINA S.R.L
102000393;NOVARTIS ARGENTINA S.A.
102000409;TRANSFARMACO S.A.
102000421;A.C.A.R.A. ASOC CONC DE AUTOM
102000431;BANCO ROELA
102000438;BRISTOL MYERS SQUIBB ARG S.R.L.
102000469;UNIVERSIDAD NACIONAL DE CÓRDOBA
102000553;ELI LILLY INTERAMERIC INC.SUC.
102000579;EDENRED ARGENTINA S.A.
102000766;TELECOM PERSONAL S.A.
102000771;TELEFONICA MOVILES ARGENTINA SA
102000733;ADMINISTRACION NACIONAL DE LABORATO
102000766;TELECOM PERSONAL S.A.
102002456;GOBIERNO DE LA CIUDAD DE BUENOS AIR
102000820;RED DIALMED S.A.
102000857;NUEVO BANCO DE SANTA FE S.A.
102001049;DROGUERIA MAFE SRL 
102001100;PHARMACEUTICAL RESEARCH ASSOCIATES
102001133;ALDEBARÁN S.R.L.
102001139;SYNEOS HEALTH ARGENTINA S.A.
102001173;TAEDA SA
102001196;BANCO DE LA PCIA DE CÓRDOBA
102002370;S.A.F.M. FINANZAS  Y O.P. - SALTA
102001242;TRANS BAN S.A.
102001254;SPP SERVICIO PUERTA A PUERTA S.A.
102001258;LABORATORIO HIDALGO S.A.
102001306;ALOT S.A.
102001325;NUEVO BANCO DE ENTRE RÍOS S.A.
102001397;HSBC BANK ARGENTINA S.A.
102001468;SDI-SERVICIOS DEL INTERIOR S.A.
102001476;GRIFOLS ARGENTINA S.A .
102001483;BANCO DE FORMOSA S.A.
102001543;GRUPO MSA S.A.
102001560;AUTOMOVIL CLUB ARGENTINO
102001586;BCO.MACRO S.A.-SIEMENS IT SOLUTIONS
102001594;DISPROFARMA S.A.
102001606;LATIN AMERICAN POSTAL S.A.
102001627;PUNTOS Y PREMIOS S. A.
102001674;ARCOR SAIC
102001674;ARCOR SAIC
102001696;IBM ARGENTINA S.R.L.
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001770;MINISTERIO DE SALUD DE LA PROV DE J
102001780;URBANO EXPRESS ARGENTINA S.A.
102001868;BIOMERIEUX ARGENTINA S.A.
102002370;S.A.F.M. FINANZAS  Y O.P. - SALTA
102002417;DIRECCION GRAL DE TESORERIA Y CREDI
102002456;GOBIERNO DE LA CIUDAD DE BUENOS AIR
102002470;PIEDRA, PAPEL Y TIJERA SA
102002496;PENTACOM S.A.
102002506;CONV. MARCO DE COOP. TEC. Y FINANCI
102002507;TÉCNICA Y SISTEMAS SRL
102002509;AUTOBANK S.A.
102002520;COMPAÑIA SALTEÑA DE AGUA Y SANEAM.
102002525;IDENTIMAX  S.A.
102002627;ETERCOR S. A.
102002641;TUTEUR SACIFIA
102002670;DROGUERIA Y DISTRIBUIDORA DEL VALLE SC
102002737;ACCICOM S.A.
102002738;GE HEALTHCARE ARGENTINA S.A.
102002776;SOLNIK S.A.
102002780;BOLDT GAMING SA
102002806;GAX S.A.
102002817;CACERES RAFAEL
102002831;FUNDACION SI ARGENTINA 
102002840;EL RECORRIDO S.A.
102002842;BANCO DE LA CIUDAD DE BUENOS AIRES
102002847;DROGUERIA DEL SUD S.A.
102002870;FUNDACIÓN ENHUE PARA LA AYUDA DE PACIENTES CON ENFERMEDADES HUERFANAS
102002875;BBVA BANCO FRANCES S.A.
102002900;DEHNER SRL
102002905;ANAVI S.A.
102002911;LAVIMAR S.A.
102002920;LABORATORIOS PHOENIX SAIC 
102002925;BAZAR AVENIDA S.A.
102002930;EXPERTA ART SA
102002941;TOPPER ARGENTINA S.A.
102002955;MANASSERO JOSE MARIA
102002961;DROGUERIA BETAPHARMA S.A.
102002966;PELOSO MARCELA LEA
102002980;GIRE S.A.
102002981;BANCO DE SERVICIOS FINANCIEROS S.A.
102002986;SOUTHGENETICS S.R.L.
102003016;NUEVA ERA ROSARIO S.R.L
102003031;ERREPAR S.A.
102003080;COMPAÑIA FARMACEUTICA S R L
102003095;BRANDLIVE S.A.
102003111;DHL GLOBAL FORWARDING (ARGENTINA) SA
102003190;PICK IT ARGENTINA
102003197;CARGILL S.A.C.I.
102003198;GEODIS WILSON ARGENTINA SA
102003210;BIOMAKERS SA
102003212;MARKEN TIME CRITICAL EXPRESS S.A.
102003246;ABC S.A.
102003270;EMPRENDIMIENTOS SATELITALES SA
102003271;ELIT SA
102003275;MINISTERIO DE DESARROLLO SOCIAL,EMPLEO, CIENCIA Y TECNOLOGIA
102003283;MEDITAR S.A.
102003309;CARTOCOR SOCIEDAD ANONIMA
102003350;SERVICIO ELECTRONICO DE PAGO SA
102003417;HOLCIM (ARGENTINA)
102003450;PUMA SPORTS ARGENTINA SA
102003470;BRIGHTSTAR ARGENTINA S.A.
102003474;IMPLANTES QUIRURGICOS S.A.
102003475;DHL SUPPLY CHAIN (ARGENTINA) S.A.
102003486;ADEA ADMINISTRADORA DE ARCHIVOS S A
102003501;MERCADO CREDITOS SRL
102003502;OCASA DISTRIBUCION POSTAL
102003545;ENVIOPACK S.A.
102003596;PTC THERAPEUTICS S.A.
102003660;DIREXA S.A.
102003670;BANCO PROVINCIA DEL NEUQUEN S.A.
102003675;FUNDACION CIENCIAS EXACTAS
102003685;MONTE VERDE S A
102003710;DROGUERIA MACROFAR S.R.L.
102003720;BANCO ITAU ARGENTINA S.A.
102003775;LOBOV Y CIA S A
102003780;ARGENPAY
102003781;BOSTON SCIENTIFIC ARGENTINA S A
102003785;PROGENITEST S.R.L.
102003800;UPS DE ARGENTINA S A
102003990;PARQUE DE LA SALUD DE LA PROVINCIA
102004041;VAGS COMERCIO INTERNACIONAL S.R.L.
102004056;AZISTIA S.A
102004060;DISTRIBUIDORA MÜLLER S.RL.
102004080;IEJIHAMELEJ S.R.L
102004100;ARCOS DORADOS ARGENTINA S.A.
102004105;PARDO S A
102004125;SILMAG SOCIEDAD ANONIMA
102004140;DIRECT GROUP SA
102004160;BFOOT S.R.L.
102004175;AC EASTWAY S.A.
102004215;LAMOLIANT SRL
102004220;GRUPO MODO S.A.
102004230;KYNDRYL ARGENTINA SRL
102004240;THINK SOLUTIONS S.R.L. - RONDA 360
102004265;COSMETICA Y BELLEZA SRL
102004275;CAP E HIJOS S.A.
102004326;LABORATORIO BIOLAC
102004335;CERVETTI MARKETING
102004365;GSK BIOPHARMA ARGENTINA S.A.
102004385;OCA LOG S.A.
102004400;DIRECTV ARGENTINA SOCIEDAD ANONIMA
102004430;TRIMAGE S.A.
102004441;VACUNAR S.A.
102004445;MUNDO HELADO S.A
102004450;ANYWAY S.A
102004460;VORS S.R.L.
102004495;ARDION
102004505;NIMASA SRL
102004520;EL AUDITOR S A
102004540;EXPERTA SEGUROS SA UNIPERSONAL
102004545;CEPA DE VINOS SRL
102004550;MYM INTERNACIONAL S.R.L.
102004575;DABRA SOCIEDAD ANONIMA (DABRA S.A)
102004580;FRESENIUS MEDICAL CARE
102004590;TRIARG SOCIEDAD ANONIMA
900000999;OCASA RED
102000425;SIND. MEC Y AFINES AL TRANSP AUT
102000770;CASIC S.A.
102000771;TELEFONICA MOVILES ARGENTINA SA
102000797;ASOCIART S.A. ASEGURADOR DE RIESGO
102001513;LOTERIA DE LA PROVINCIA DE CÓRDOBA
102001538;MINISTERIO DE FINANZAS (DIR DE ADM)
102001638;PETERSEN THIELE Y CRUZ S.A.
102001681;BANCO MACRO S.A. (SUC. POSADAS)
102001705;H.C & ASOCIADOS S.A.
102002630;BANCO COMAFI SOCIEDAD ANÓNIMA
102002841;MARBE S.A.
102002903;BOLDT IMPRESORES S.A.
102002932;INGEMED S.A
102002952;SAEVENT EMPRESA DE SERVICIOS EVENTUALES S.A.
102003501;MERCADO CREDITOS SRL
102003293;PAMPA ENERGIA S.A.
102003521;HSBC SEGUROS DE VIDA (ARGENTINA) SA
102003640;BANCO DE GALICIA Y BUENOS
102003842;TOYOTA ARGENTINA S A
102004038;MAYORISTA CENTRO COMERCIAL S.A.
102004065;CT BARRAGAN S.A.
102004115;SERVICIO DE PAGO SAU               
102004190;GLOBALLOGIC ARGENTINA S.R.L.
102004210;ENERGY LINK S.A.
102004300;SADESA SOCIEDAD ANONIMA
102004595;VITOLEN S.A.
102000315;BANCO PATAGONIA S.A.
102001193;EMPRESA PROV. DE ENERGIA DE CORDOBA
102003175;TELEVISION FEDERAL S A
102004620;LANCASTER PHARMA S.A.
102003840;IECS-INSTITUTO DE EFECTIVIDAD CLINI
102002762;PHARMEXX ARGENTINA S.A.
102004480;L3N S.A.
102002795;BOLDT S.A.
102000857;NUEVO BANCO DE SANTA FE S.A.
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
