SUCURSAL;ACTIVIDAD;MTS2;FTE;TIENE MTS2;TIENE FTE;ESTADO / INCONSISTENCIA
AEP;DISTRIBUCION DI;;1,25;NO;SI;FTE sin MTS2
AEP;TRONCAL TERRESTRE DI;781,81;;SI;NO;MTS2 sin FTE
AEP;ADMINISTRACION OP DI;331,47;1,3;SI;SI;OK - Tiene MTS2 y FTE
AEP;TRONCAL AEREO DI;7036,37;8,45;SI;SI;OK - Tiene MTS2 y FTE
AGR;ADMINISTRACION OP SP;168;;SI;NO;MTS2 sin FTE
AGR;CLASIFICACION SP;126;;SI;NO;MTS2 sin FTE
AGR;DISTRIBUCION DI;60;;SI;NO;MTS2 sin FTE
AGR;DISTRIBUCION SP;300;;SI;NO;MTS2 sin FTE
AGR;GUARDA SP;56;;SI;NO;MTS2 sin FTE
AGR;INGRESOS SP;84;;SI;NO;MTS2 sin FTE
AGR;RECEPCION SP;140;;SI;NO;MTS2 sin FTE
AGR;DISTRIBUIDORES DOMICILIARIOS SDI;60;3;SI;SI;OK - Tiene MTS2 y FTE
AVE;ADMISION DI;;0,5;NO;SI;FTE sin MTS2
AVE;INPLANT RECURSOS HUMANOS;;1;NO;SI;FTE sin MTS2
AVE;OPER LIFE SCIENCE USA;;1;NO;SI;FTE sin MTS2
AVE;TRONCAL TERRESTRE DI;;1,1;NO;SI;FTE sin MTS2
AVE;CLASIFICACION DI;13452;;SI;NO;MTS2 sin FTE
AVE;ESPACIOS CEDIDOS AG;8640;;SI;NO;MTS2 sin FTE
AVE;ESPACIOS CEDIDOS SE;13584;;SI;NO;MTS2 sin FTE
AVE;AYUDANTE DE FLOTA;;7;NO;SI;OK - Sin mts2
AVE;ADMINISTRACION OP AG;5462,4;14,15;SI;SI;OK - Tiene MTS2 y FTE
AVE;ADMINISTRACION OP DI;2832;2,7;SI;SI;OK - Tiene MTS2 y FTE
AVE;ALMACENAMIENTO AG;183888;9,95;SI;SI;OK - Tiene MTS2 y FTE
AVE;DISTRIBUCION DI;16404;1,55;SI;SI;OK - Tiene MTS2 y FTE
AVE;IMPOSICION DI;4476;1,4;SI;SI;OK - Tiene MTS2 y FTE
AVE;INGRESO AG;17469,6;7,65;SI;SI;OK - Tiene MTS2 y FTE
AVE;MANTENIMIENTO;2040;1,05;SI;SI;OK - Tiene MTS2 y FTE
AVE;PICKING AG;22752;26,24;SI;SI;OK - Tiene MTS2 y FTE
BHI;ADMISION DI;;1,2;NO;SI;FTE sin MTS2
BHI;ESTRATEGIA TRANSPORTE;;1;NO;SI;FTE sin MTS2
BHI;IMPOSICION DI;;0,5;NO;SI;FTE sin MTS2
BHI;RENDICION SP;;0,4;NO;SI;FTE sin MTS2
BHI;TRONCAL TERRESTRE DI;;2,5;NO;SI;FTE sin MTS2
BHI;DISTRIBUCION SP;500;;SI;NO;MTS2 sin FTE
BHI;INGRESOS SP;600;;SI;NO;MTS2 sin FTE
BHI;FLOTA PROPIA CAMIONETA;;1;NO;SI;OK - Sin mts2
BHI;ADMINISTRACION OP DI;720;1,5;SI;SI;OK - Tiene MTS2 y FTE
BHI;CLASIFICACION DI;50976;6;SI;SI;OK - Tiene MTS2 y FTE
BHI;DISTRIBUCION DI;48652;8,69;SI;SI;OK - Tiene MTS2 y FTE
BHI;RENDICION DI;816;0,4;SI;SI;OK - Tiene MTS2 y FTE
BLG;ADMINISTRACION OP SP;630;;SI;NO;MTS2 sin FTE
BLG;DISTRIBUCION DI;288;;SI;NO;MTS2 sin FTE
BLG;INGRESO AG;288;;SI;NO;MTS2 sin FTE
BLG;MANTENIMIENTO;792;;SI;NO;MTS2 sin FTE
BLG;RENDICION SP;630;;SI;NO;MTS2 sin FTE
BLG;ADMINISTRACION OP AG;302,4;1;SI;SI;OK - Tiene MTS2 y FTE
BLG;ALMACENAMIENTO AG;4348,8;0,3;SI;SI;OK - Tiene MTS2 y FTE
BLG;DISTRIBUCION SP;645,6;10;SI;SI;OK - Tiene MTS2 y FTE
BLG;LIMPIEZA;144;1;SI;SI;OK - Tiene MTS2 y FTE
BLG;PICKING AG;907,2;1,7;SI;SI;OK - Tiene MTS2 y FTE
BLG;RECEPCION SP;360;3;SI;SI;OK - Tiene MTS2 y FTE
CDN;INPLANT RECURSOS HUMANOS;;1;NO;SI;FTE sin MTS2
CDN;ALMACENAMIENTO AG;114632;;SI;NO;MTS2 sin FTE
CDN;IMPOSICION DI;30338;;SI;NO;MTS2 sin FTE
CDN;RRHH;252;;SI;NO;MTS2 sin FTE
CDN;SEGURIDAD PATRIMONIAL;1400;;SI;NO;MTS2 sin FTE
CDN;ADMINISTRACION OP DI;4158;8;SI;SI;OK - Tiene MTS2 y FTE
CDN;CLASIFICACION DI;52136;13;SI;SI;OK - Tiene MTS2 y FTE
CDN;DISTRIBUCION DI;56672;34,9;SI;SI;OK - Tiene MTS2 y FTE
CDN;MANTENIMIENTO;1540;2;SI;SI;OK - Tiene MTS2 y FTE
CDN;TRONCAL TERRESTRE DI;44716;8;SI;SI;OK - Tiene MTS2 y FTE
CNQ;ADMINISTRACION OP DI;86,4;;SI;NO;MTS2 sin FTE
CNQ;CLASIFICACION DI;443,52;;SI;NO;MTS2 sin FTE
CNQ;DISTRIBUCION DI;517,44;;SI;NO;MTS2 sin FTE
CNQ;DISTRIBUCION SP;369,6;;SI;NO;MTS2 sin FTE
