IATA,Centro,Nave,Tipo de Almacenamiento,Posicion,Tipo de Posicion,Division Horizontal,Piso,Pasillo,Columna,Altura,Largo,Alto,Ancho,Peso
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA044.10A,Rack,1,1,RAA,044,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA042.10A,Rack,1,1,RAA,042,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA040.10A,Rack,1,1,RAA,040,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA038.10A,Rack,1,1,RAA,038,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA036.10A,Rack,1,1,RAA,036,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA034.10A,Rack,1,1,RAA,034,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA032.10A,Rack,1,1,RAA,032,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA030.10A,Rack,1,1,RAA,030,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA028.10A,Rack,1,1,RAA,028,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA026.10A,Rack,1,1,RAA,026,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA044.10A,Rack,1,1,RAA,044,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA042.10A,Rack,1,1,RAA,042,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA040.10A,Rack,1,1,RAA,040,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA038.10A,Rack,1,1,RAA,038,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA036.10A,Rack,1,1,RAA,036,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA034.10A,Rack,1,1,RAA,034,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA032.10A,Rack,1,1,RAA,032,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA030.10A,Rack,1,1,RAA,030,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA028.10A,Rack,1,1,RAA,028,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,Espacio Cedido,RAA026.10A,Rack,1,1,RAA,026,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB044.10A,Rack,1,1,RAB,044,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB042.10A,Rack,1,1,RAB,042,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB040.10A,Rack,1,1,RAB,040,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB038.10A,Rack,1,1,RAB,038,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB036.10A,Rack,1,1,RAB,036,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB034.10A,Rack,1,1,RAB,034,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB032.10A,Rack,1,1,RAB,032,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB030.10A,Rack,1,1,RAB,030,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB028.10A,Rack,1,1,RAB,028,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB026.10A,Rack,1,1,RAB,026,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB024.10A,Rack,1,1,RAB,024,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB022.10A,Rack,1,1,RAB,022,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB020.10A,Rack,1,1,RAB,020,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAB018.10A,Rack,1,1,RAB,018,10,100,180,120,1050
